american_alligator,asian_elephant,axolotl,black_iguana,blue_macaw,coyote,crested_caracara,green_turtle,ocelot,resplendent_quetzal,BIOME,BIO1,BIO4,BIO5,BIO6,BIO12,BIO15,BIO17,BIO18
0,0,0,0,0,1,0,0,0,0,6.0,-3.9239395989312067,1390.5131293402778,20.765655517578125,-30.40704345703125,278.69444444444446,65.48139105902777,24.694444444444443,138.69444444444446
0,0,0,0,0,1,0,0,0,0,6.0,-2.6256690555148654,1005.2794053819445,17.393478393554688,-21.903013441297745,413.94444444444446,41.128211127387154,47.72222222222222,128.58333333333334
0,0,0,0,0,1,0,0,0,0,11.0,-2.5931585099962025,1196.5192057291667,20.054994371202255,-25.259596082899307,261.47222222222223,64.92828369140625,22.72222222222222,128.83333333333334
0,0,0,0,0,1,0,0,0,0,6.0,-2.5931585099962025,1196.5192057291667,20.054994371202255,-25.259596082899307,261.47222222222223,64.92828369140625,22.72222222222222,128.83333333333334
0,0,0,0,0,1,0,0,0,0,5.0,1.0471337636311848,633.8760416666667,13.906138102213541,-10.8587646484375,1483.5,36.069051106770836,215.93333333333334,298.0
0,0,0,0,0,1,0,0,0,0,11.0,1.0471337636311848,633.8760416666667,13.906138102213541,-10.8587646484375,1483.5,36.069051106770836,215.93333333333334,298.0
0,0,0,0,0,1,0,0,0,0,99.0,1.0471337636311848,633.8760416666667,13.906138102213541,-10.8587646484375,1483.5,36.069051106770836,215.93333333333334,298.0
0,0,0,0,0,1,0,0,0,0,6.0,-2.0878158145480685,1080.7565104166667,18.485180324978298,-23.433147854275173,316.69444444444446,43.082617865668404,35.27777777777778,112.94444444444444
0,0,0,0,0,1,0,0,0,0,6.0,-2.929338667127821,1170.3153211805557,19.31592305501302,-25.706895616319443,294.22222222222223,57.897501627604164,29.61111111111111,134.16666666666666
0,0,0,0,0,1,0,0,0,0,99.0,-1.0809592141045465,924.3015407986111,16.783772786458332,-18.347401936848957,543.3333333333334,31.802513970269096,76.80555555555556,143.52777777777777
0,0,0,0,0,1,0,0,0,0,6.0,-1.0809592141045465,924.3015407986111,16.783772786458332,-18.347401936848957,543.3333333333334,31.802513970269096,76.80555555555556,143.52777777777777
0,0,0,0,0,1,0,0,0,0,6.0,-2.559915542602539,1094.623263888889,18.27865261501736,-23.489327324761284,335.6111111111111,43.41583591037326,40.361111111111114,128.61111111111111
0,0,0,0,0,1,0,0,0,0,6.0,-2.8435270521375866,1150.721462673611,18.690494113498264,-24.721605088975693,368.77777777777777,40.00127834743924,50.083333333333336,135.69444444444446
0,0,0,0,0,1,0,0,0,0,5.0,3.2343097262912326,586.2850477430555,16.17935519748264,-7.128410339355469,2248.4444444444443,43.45021226671007,290.69444444444446,323.5
0,0,0,0,0,1,0,0,0,0,11.0,3.2343097262912326,586.2850477430555,16.17935519748264,-7.128410339355469,2248.4444444444443,43.45021226671007,290.69444444444446,323.5
0,0,0,0,0,1,0,0,0,0,5.0,3.28477054172092,671.5245768229166,18.049796210394966,-8.927372402615017,1540.4444444444443,44.559224446614586,205.16666666666666,223.25
0,0,0,0,0,1,0,0,0,0,5.0,2.4115691714816623,739.796875,18.390755547417534,-11.439722696940104,1009.9166666666666,35.81940036349826,152.41666666666666,201.83333333333334
0,0,0,0,0,1,0,0,0,0,5.0,1.7128865983751085,723.8521592881945,17.816075642903645,-12.289415995279947,986.9166666666666,35.09544542100694,153.22222222222223,184.47222222222223
0,0,0,0,0,1,0,0,0,0,5.0,1.5452375411987305,786.7823893229166,18.48038058810764,-13.726804945203993,757.2777777777778,27.790449354383682,119.08333333333333,195.05555555555554
0,0,0,0,0,1,0,0,0,0,5.0,1.8574290805392795,740.3391927083334,18.236036512586807,-12.904444376627604,814.25,33.098415798611114,129.13888888888889,164.66666666666666
